Drug,CYP***,Action,Species,Database,refence_1,reference_2,reference_3,Strength
Mexiletine hydrochloride (JP17/USP), 2D6, substrate, Not Specified, KEGG, , , , 
Mianserin (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Mianserin hydrochloride (JAN/USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Minaprine (USAN/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Minaprine hydrochloride (USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Mirtazapine (JAN/USAN/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Naratriptan (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Naratriptan hydrochloride (JAN/USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Nateglinide (JP17/USAN/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Nebivolol (USAN/INN), 2D6, substrate, Not Specified, KEGG, , , , Sensitive
Nebivolol hydrochloride (USAN), 2D6, substrate, Not Specified, KEGG, , , , Sensitive
Nelfinavir (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Nelfinavir mesylate (USAN/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Nortriptyline (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Nortriptyline hydrochloride (JP17/USP/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Olanzapine (JAN/USAN/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Olanzapine pamoate (USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Ondansetron (JAN/USP/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Ondansetron hydrochloride hydrate (JAN/USP), 2D6, substrate, Not Specified, KEGG, , , , 
Oxycodone (USAN/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Oxycodone hydrochloride (USP), 2D6, substrate, Not Specified, KEGG, , , , 
Oxycodone terephthalate (USP), 2D6, substrate, Not Specified, KEGG, , , , 
Oxycodone hydrochloride hydrate (JP17), 2D6, substrate, Not Specified, KEGG, , , , 
Palonosetron (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Palonosetron hydrochloride (JAN/USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Paroxetine (USP/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Paroxetine hydrochloride hydrate (JP17), 2D6, substrate, Not Specified, KEGG, , , , 
Paroxetine hydrochloride (USP), 2D6, substrate, Not Specified, KEGG, , , , 
Paroxetine mesylate (USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Pergolide (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Pergolide mesylate (USP), 2D6, substrate, Not Specified, KEGG, , , , 
Perhexiline (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Perhexiline maleate (USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Perphenazine (JP17/USP/INN), 2D6, substrate, Not Specified, KEGG, , , , Sensitive
Perphenazine maleate (JP17), 2D6, substrate, Not Specified, KEGG, , , , Sensitive
Perphenazine fendizoate (JAN), 2D6, substrate, Not Specified, KEGG, , , , Sensitive
Perphenazine hydrochloride, 2D6, substrate, Not Specified, KEGG, , , , Sensitive
Perphenazine decanoate, 2D6, substrate, Not Specified, KEGG, , , , Sensitive
Perphenazine enantate, 2D6, substrate, Not Specified, KEGG, , , , Sensitive
Phenacetin (JAN/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Phenformin (BAN), 2D6, substrate, Not Specified, KEGG, , , , 
Phenformin hydrochloride, 2D6, substrate, Not Specified, KEGG, , , , 
Pimozide (JP17/USP/INN), 2D6, substrate, Not Specified, KEGG, , , , Narrow
Pindolol (JP17/USP/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Propafenone (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Propafenone hydrochloride (JP17/USP), 2D6, substrate, Not Specified, KEGG, , , , 
Promethazine (JAN/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Promethazine hydrochloride (JP17/USP), 2D6, substrate, Not Specified, KEGG, , , , 
Promethazine teoclate (JAN/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Promethazine methylenedisalicylate (JAN), 2D6, substrate, Not Specified, KEGG, , , , 
Promethazine maleate, 2D6, substrate, Not Specified, KEGG, , , , 
Promethazine hibenzate, 2D6, substrate, Not Specified, KEGG, , , , 
Propranolol (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Propranolol hydrochloride (JP17/USP), 2D6, substrate, Not Specified, KEGG, , , , 
Ramosetron (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Ramosetron hydrochloride (JAN), 2D6, substrate, Not Specified, KEGG, , , , 
Risperidone (JP17/USAN/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Sarpogrelate (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Sarpogrelate hydrochloride (JP17), 2D6, substrate, Not Specified, KEGG, , , , 
Selegiline (USAN/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Selegiline hydrochloride (JAN/USP), 2D6, substrate, Not Specified, KEGG, , , , 
Sparteine (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Sparteine sulfate (JAN/USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Tamoxifen (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Tamoxifen citrate (JP17/USP), 2D6, substrate, Not Specified, KEGG, , , , 
Tandospirone (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Telithromycin (JAN/USAN/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Thioridazine (USP/INN), 2D6, substrate, Not Specified, KEGG, , , , Narrow
Thioridazine hydrochloride (JP17/USP), 2D6, substrate, Not Specified, KEGG, , , , Narrow
Timolol (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Timolol (USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Timolol maleate (JP17/USP), 2D6, substrate, Not Specified, KEGG, , , , 
Tolterodine (USAN/INN), 2D6, substrate, Not Specified, KEGG, , , , Sensitive
Tolterodine tartrate (JAN/USAN), 2D6, substrate, Not Specified, KEGG, , , , Sensitive
Tramadol (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Tramadol hydrochloride (JAN/USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Trazodone (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Trazodone hydrochloride (JAN/USP), 2D6, substrate, Not Specified, KEGG, , , , 
Trimipramine (USAN/INN), 2D6, substrate, Not Specified, KEGG, , , , 
Trimipramine maleate (JAN/USAN), 2D6, substrate, Not Specified, KEGG, , , , 
Tropisetron (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Tropisetron hydrochloride (JAN), 2D6, substrate, Not Specified, KEGG, , , , 
Venlafaxine (INN), 2D6, substrate, Not Specified, KEGG, , , , Sensitive
Venlafaxine hydrochloride (JAN/USAN), 2D6, substrate, Not Specified, KEGG, , , , Sensitive
Zuclopenthixol (INN), 2D6, substrate, Not Specified, KEGG, , , , 
Zuclopenthixol acetate, 2D6, substrate, Not Specified, KEGG, , , , 
Zuclopenthixol decanoate, 2D6, substrate, Not Specified, KEGG, , , , 
Zuclopenthixol dihydrochloride, 2D6, substrate, Not Specified, KEGG, , , , 
Rivaroxaban (JAN/USAN/INN), 2J2, substrate, Not Specified, KEGG, , , , 
Nabumetone (JP17/USP/INN), 2J2, substrate, Not Specified, KEGG, , , , 
Adrenaline - lidocaine hydrochloride mixt, 3A4, substrate, Not Specified, KEGG, , , , 
Alprazolam (JP17/USP/INN), 3A4, substrate, Not Specified, KEGG, , , , 
Amitriptyline (INN), 3A4, substrate, Not Specified, KEGG, , , , 
Amitriptyline hydrochloride (JP17/USP), 3A4, substrate, Not Specified, KEGG, , , , 
Amiodarone (USAN/INN), 3A4, substrate, Not Specified, KEGG, , , , 
Amiodarone hydrochloride (JP17/USAN), 3A4, substrate, Not Specified, KEGG, , , , 
Amlodipine (USAN/INN), 3A4, substrate, Not Specified, KEGG, , , , 
Amlodipine besylate (USAN), 3A4, substrate, Not Specified, KEGG, , , , 
Amlodipine maleate (USAN), 3A4, substrate, Not Specified, KEGG, , , , 
Amoxapine (JP17/USP/INN), 3A4, substrate, Not Specified, KEGG, , , , 
Ampiroxicam (JP17/INN), 3A4, substrate, Not Specified, KEGG, , , , 
Amprenavir (JAN/USAN/INN), 3A4, substrate, Not Specified, KEGG, , , , 
Anastrozole (JAN/USAN/INN), 3A4, substrate, Not Specified, KEGG, , , , 
Apixaban (JAN/USAN/INN), 3A4, substrate, Not Specified, KEGG, , , , 
Aprepitant (JAN/USAN/INN), 3A4, substrate, Not Specified, KEGG, , , , 
Fosaprepitant dimeglumine (USAN), 3A4, substrate, Not Specified, KEGG, , , , 
Aprindine hydrochloride (JP17/USAN), 3A4, substrate, Not Specified, KEGG, , , , 
Aranidipine (JAN/INN), 3A4, substrate, Not Specified, KEGG, , , , 
Aripiprazole (JAN/USAN/INN), 3A4, substrate, Not Specified, KEGG, , , , 
Armodafinil (USAN/INN), 3A4, substrate, Not Specified, KEGG, , , , 
Astemizole (JAN/USP/INN), 3A4, substrate, Not Specified, KEGG, , , , 
Atorvastatin (INN), 3A4, substrate, Not Specified, KEGG, , , , 
Atorvastatin calcium anhydorous, 3A4, substrate, Not Specified, KEGG, , , , 
Atorvastatin calcium (USP), 3A4, substrate, Not Specified, KEGG, , , , 
Amlodipine besilate - atorvastatin calcium mixt, 3A4, substrate, Not Specified, KEGG, , , , 
Axitinib (JAN/USAN), 3A4, substrate, Not Specified, KEGG, , , , 
Atazanavir (INN), 3A4, substrate, Not Specified, KEGG, , , , 
Atazanavir sulfate (JAN/USAN), 3A4, substrate, Not Specified, KEGG, , , , 
Azelnidipine (JP17/INN), 3A4, substrate, Not Specified, KEGG, , , , 
Barnidipine (INN), 3A4, substrate, Not Specified, KEGG, , , , 
Barnidipine hydrochloride (JAN), 3A4, substrate, Not Specified, KEGG, , , , 
Benidipine (INN), 3A4, substrate, Not Specified, KEGG, , , , 
Benidipine hydrochloride (JP17), 3A4, substrate, Not Specified, KEGG, , , , 
Bepridil (INN), 3A4, substrate, Not Specified, KEGG, , , , 
Bepridil hydrochloride (USAN), 3A4, substrate, Not Specified, KEGG, , , , 
Bicalutamide (JAN/USP/INN), 3A4, substrate, Not Specified, KEGG, , , , 
Blonanserin (JAN/INN), 3A4, substrate, Not Specified, KEGG, , , , 
Bosentan (INN), 3A4, substrate, Not Specified, KEGG, , , , 
Bosentan (USAN), 3A4, substrate, Not Specified, KEGG, , , , 
Bortezomib (JAN/USAN/INN), 3A4, substrate, Not Specified, KEGG, , , , 
Bromazepam (JP17/USAN/INN), 3A4, substrate, Not Specified, KEGG, , , , 
Bromocriptine (USAN/INN), 3A4, substrate, Not Specified, KEGG, , , , 
Bromocriptine mesylate (USP), 3A4, substrate, Not Specified, KEGG, , , , 
Bromperidol (JAN/USAN/INN), 3A4, substrate, Not Specified, KEGG, , , , 
Bromperidol decanoate (USAN), 3A4, substrate, Not Specified, KEGG, , , , 
Budesonide (JAN/USAN/INN), 3A4, substrate, Not Specified, KEGG, , , , 
Budesonide - formoterol fumarate dihydrate mixt, 3A4, substrate, Not Specified, KEGG, , , , 
Bupivacaine hydrochloride (USP), 3A4, substrate, Not Specified, KEGG, , , , 
Cabergoline (JAN/USAN/INN), 3A4, substrate, Not Specified, KEGG, , , , 
Caffeine (USP), 3A4, substrate, Not Specified, KEGG, , , , 
Caffeine hydrate (JP17), 3A4, substrate, Not Specified, KEGG, , , , 
Candesartan cilexetil and anmlodipine besylate tablets (JP17), 3A4, substrate, Not Specified, KEGG, , , , 
Carbamazepine (JP17/USP/INN), 3A4, substrate, Not Specified, KEGG, , , , 
Carvedilol (JAN/USAN/INN), 3A4, substrate, Not Specified, KEGG, , , , 
Carvedilol phosphate (USAN), 3A4, substrate, Not Specified, KEGG, , , , 
Cerivastatin (INN), 3A4, substrate, Not Specified, KEGG, , , , 
Cerivastatin sodium (JAN/USAN), 3A4, substrate, Not Specified, KEGG, , , , 
Cevimeline (INN), 3A4, substrate, Not Specified, KEGG, , , , 
Cevimeline hydrochloride (USAN), 3A4, substrate, Not Specified, KEGG, , , , 
Chloramphenicol (JP17/USP/INN), 3A4, substrate, Not Specified, KEGG, , , , 
Chlorphenamine (INN), 3A4, substrate, Not Specified, KEGG, , , , 
Chlorpheniramine maleate (JP17/USP), 3A4, substrate, Not Specified, KEGG, , , , 
Chlorpheniramine polistirex (USAN), 3A4, substrate, Not Specified, KEGG, , , , 
Cifenline (USAN), 3A4, substrate, Not Specified, KEGG, , , , 
Cifenline succinate (USAN), 3A4, substrate, Not Specified, KEGG, , , , 
Ciclesonide (JAN/USAN/INN), 3A4, substrate, Not Specified, KEGG, , , , 
Cyclosporine (USP), 3A4, substrate, Not Specified, KEGG, , , , 
Cilnidipine (JP17/INN), 3A4, substrate, Not Specified, KEGG, , , , 
Cilostazol (JP17/USAN/INN), 3A4, substrate, Not Specified, KEGG, , , , 
Cimetidine (JP17/USP/INN), 3A4, substrate, Not Specified, KEGG, , , , 
Cimetidine hydrochloride (USP), 3A4, substrate, Not Specified, KEGG, , , , 
Cinacalcet hydrochloride (JAN/USAN), 3A4, substrate, Not Specified, KEGG, , , , 
Ciprofloxacin (JP17/USP/INN), 3A4, substrate, Not Specified, KEGG, , , , 
Ciprofloxacin hydrochloride (USP), 3A4, substrate, Not Specified, KEGG, , , , 
Ciprofloxacin lactate, 3A4, substrate, Not Specified, KEGG, , , , 
Cisapride (USAN/INN), 3A4, substrate, Not Specified, KEGG, , , , 
Cisapride (JAN), 3A4, substrate, Not Specified, KEGG, , , , 
Citalopram (USP/INN), 3A4, substrate, Not Specified, KEGG, , , , 
Citalopram hydrobromide (USAN), 3A4, substrate, Not Specified, KEGG, , , , 
Citalopram hydrochloride, 3A4, substrate, Not Specified, KEGG, , , , 
Clarithromycin (JP17/USP/INN), 3A4, substrate, Not Specified, KEGG, , , , 
Clarithromycin lactobionate, 3A4, substrate, Not Specified, KEGG, , , , 
Clobazam (JAN/USAN/INN), 3A4, substrate, Not Specified, KEGG, , , , 
Clomipramine (INN), 3A4, substrate, Not Specified, KEGG, , , , 
Clomipramine hydrochloride (JP17/USP), 3A4, substrate, Not Specified, KEGG, , , , 
Clopidogrel (USP/INN), 3A4, substrate, Not Specified, KEGG, , , , 
Clopidogrel bisulfate (USAN), 3A4, substrate, Not Specified, KEGG, , , , 
Clozapine (JAN/USP/INN), 3A4, substrate, Not Specified, KEGG, , , , 
Codeine (USP), 3A4, substrate, Not Specified, KEGG, , , , 
Codeine phosphate (USP), 3A4, substrate, Not Specified, KEGG, , , , 
Codeine sulfate (USP), 3A4, substrate, Not Specified, KEGG, , , , 
Codeine hydrochloride, 3A4, substrate, Not Specified, KEGG, , , , 
Colchicine (JP17/USP), 3A4, substrate, Not Specified, KEGG, , , , 
Colforsin daropate hydrochloride (JAN), 3A4, substrate, Not Specified, KEGG, , , , 
"Estrogens conjugated (JAN/USP)""", 3A4, substrate, Not Specified, KEGG, , , , 
"Synthetic conjugated estrogens B (USAN)""", D05987, substrate, Not Specified, KEGG, , , , 
Cortisone (INN), D05987, substrate, Not Specified, KEGG, , , , 
Cyclophosphamide (INN), D05987, substrate, Not Specified, KEGG, , , , 
Cyclophosphamide (USP), D05987, substrate, Not Specified, KEGG, , , , 
Dabrafenib mesylate (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Darunavir (USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Darunavir ethanolate (JAN), D05987, substrate, Not Specified, KEGG, , , , 
Delavirdine (INN), D05987, substrate, Not Specified, KEGG, , , , 
Delavirdine mesylate (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Dexamethasone (JP17/USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Dexamethasone sodium phosphate (JAN/USP), D05987, substrate, Not Specified, KEGG, , , , 
Dexamethasone metasulfobenzoate sodium (JAN), D05987, substrate, Not Specified, KEGG, , , , 
Dexamethasone palmitate (JAN), D05987, substrate, Not Specified, KEGG, , , , 
Dexamethasone dipropionate (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Dexamethasone valerate (JAN), D05987, substrate, Not Specified, KEGG, , , , 
Dexamethasone acetate (JAN/USP), D05987, substrate, Not Specified, KEGG, , , , 
Dexamethasone acefurate (USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Dexamethasone beloxil (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Dexamethasone cipecilate (JAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Dexamethasone 21-acetate, D05987, substrate, Not Specified, KEGG, , , , 
Dexamethasone isonicotinate, D05987, substrate, Not Specified, KEGG, , , , 
Dexamethasone sodium hemisulfate, D05987, substrate, Not Specified, KEGG, , , , 
Dexamethasone 21-tebutate, D05987, substrate, Not Specified, KEGG, , , , 
Dexamethasone 21-valerate, D05987, substrate, Not Specified, KEGG, , , , 
Dexamethasone phenylpropionate, D05987, substrate, Not Specified, KEGG, , , , 
Dexamethasone phosphate, D05987, substrate, Not Specified, KEGG, , , , 
Dexchlorpheniramine (INN), D05987, substrate, Not Specified, KEGG, , , , 
Dexchlorpheniramine maleate (USP), D05987, substrate, Not Specified, KEGG, , , , 
Dexlansoprazole (INN/USAN), D05987, substrate, Not Specified, KEGG, , , , 
Dexpropranolol hydrochloride (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Dextromethorphan (USP), D05987, substrate, Not Specified, KEGG, , , , 
Dextromethorphan hydrobromide (USP), D05987, substrate, Not Specified, KEGG, , , , 
Dextromethorphan polistirex (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Dapsone (USP), D05987, substrate, Not Specified, KEGG, , , , 
Diazepam (JP17/USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Dienogest (JAN/USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Diltiazem (INN), D05987, substrate, Not Specified, KEGG, , , , 
Diltiazem hydrochloride (JP17/USP), D05987, substrate, Not Specified, KEGG, , , , 
Diltiazem malate (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Disopyramide (JP17/USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Disopyramide phosphate (JAN/USP), D05987, substrate, Not Specified, KEGG, , , , 
Docetaxel (JAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Docetaxel (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Domperidone (JP17/USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Domperidone maleate, D05987, substrate, Not Specified, KEGG, , , , 
Donepezil (INN), D05987, substrate, Not Specified, KEGG, , , , 
Donepezil hydrochloride (JP17/USAN), D05987, substrate, Not Specified, KEGG, , , , 
Dronabinol (USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Dutasteride (JAN/USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Efavirenz (JAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Enoxacin (USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Enoxacin hydrate (JP17), D05987, substrate, Not Specified, KEGG, , , , 
Eplerenone (JP17/USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Ergometrine (INN), D05987, substrate, Not Specified, KEGG, , , , 
Ergonovine maleate (USP), D05987, substrate, Not Specified, KEGG, , , , 
Ergotamine (INN), D05987, substrate, Not Specified, KEGG, , , , 
Ergotamine tartrate (JP17/USP), D05987, substrate, Not Specified, KEGG, , , , 
Erlotinib (INN), D05987, substrate, Not Specified, KEGG, , , , 
Erlotinib hydrochloride (JAN/USAN), D05987, substrate, Not Specified, KEGG, , , , 
Erythromycin (JP17/USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Erythromycin estolate (USP), D05987, substrate, Not Specified, KEGG, , , , 
Erythromycin ethylsuccinate (JP17/USP), D05987, substrate, Not Specified, KEGG, , , , 
Erythromycin lactobionate (JP17/USP), D05987, substrate, Not Specified, KEGG, , , , 
Erythromycin stearate (JP17/USP), D05987, substrate, Not Specified, KEGG, , , , 
Erythromycin acistrate (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Erythromycin gluceptate (USP), D05987, substrate, Not Specified, KEGG, , , , 
Erythromycin propionate (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Erythromycin salnacedin (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Erythromycin thiocyanate, D05987, substrate, Not Specified, KEGG, , , , 
Erythromycin stinoprate (INN), D05987, substrate, Not Specified, KEGG, , , , 
Ethylmorphine hydrochloride hydrate (JP17), D05987, substrate, Not Specified, KEGG, , , , 
Escitalopram (INN), D05987, substrate, Not Specified, KEGG, , , , 
Escitalopram oxalate (JAN/USAN), D05987, substrate, Not Specified, KEGG, , , , 
Esomeprazole (INN), D05987, substrate, Not Specified, KEGG, , , , 
Esomeprazole magnesium (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Esomeprazole sodium (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Esomeprazole potassium (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Estazolam (JP17/USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Ethinyl estradiol (USP), D05987, substrate, Not Specified, KEGG, , , , 
Etoposide (JP17/USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Etravirine (JAN/USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Exemestane (JAN/USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Estradiol (JAN/USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Estradiol valerate (JAN/USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Estradiol dipropionate (JAN), D05987, substrate, Not Specified, KEGG, , , , 
Estradiol benzoate (JP17), D05987, substrate, Not Specified, KEGG, , , , 
Estradiol acetate (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Estradiol cypionate (USP), D05987, substrate, Not Specified, KEGG, , , , 
Estradiol enanthate (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Estradiol undecylate (USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Estradiol hemihydrate, D05987, substrate, Not Specified, KEGG, , , , 
Estradiol 17 beta-hemisuccinate, D05987, substrate, Not Specified, KEGG, , , , 
"Estrogens esterified (USP)""", D05987, substrate, Not Specified, KEGG, , , , 
Ethosuximide (JP17/USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Etizolam (JP17/INN), D05987, substrate, Not Specified, KEGG, , , , 
Ethyl loflazepate (JAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Felodipine (JAN/USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Fentanyl (JAN/USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Fentanyl citrate (JP17/USP), D05987, substrate, Not Specified, KEGG, , , , 
Droperidol - fentanyl citrate mixt, D05987, substrate, Not Specified, KEGG, , , , 
Flecainide (INN), D05987, substrate, Not Specified, KEGG, , , , 
Flecainide acetate (JP17/USP), D05987, substrate, Not Specified, KEGG, , , , 
Fluvastatin (INN), D05987, substrate, Not Specified, KEGG, , , , 
Fluvastatin sodium (JAN/USAN), D05987, substrate, Not Specified, KEGG, , , , 
Fluconazole (JP17/USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Fosfluconazole (JAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Finasteride (JAN/USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Finasteride (JAN/USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Fluvoxamine (INN), D05987, substrate, Not Specified, KEGG, , , , 
Fluvoxamine maleate (JP17/USAN), D05987, substrate, Not Specified, KEGG, , , , 
Fosamprenavir (INN), D05987, substrate, Not Specified, KEGG, , , , 
Fosamprenavir calcium hydrate (JAN), D05987, substrate, Not Specified, KEGG, , , , 
Fosamprenavir calcium (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Fosamprenavir sodium (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Gefitinib (JAN/USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Gemtuzumab ozogamicin (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Gestodene (USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Haloperidol (JP17/USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Haloperidol decanoate (JAN/USAN), D05987, substrate, Not Specified, KEGG, , , , 
Haloperidol lactate, D05987, substrate, Not Specified, KEGG, , , , 
Halothane (JP17/USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Hydrocortisone (JP17/USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Hydrocortisone acetate (JP17/USP), D05987, substrate, Not Specified, KEGG, , , , 
Hydrocortisone cypionate, D05987, substrate, Not Specified, KEGG, , , , 
Hydrocortisone sodium phosphate (JP17/USP), D05987, substrate, Not Specified, KEGG, , , , 
Hydrocortisone sodium succinate (JP17/USP), D05987, substrate, Not Specified, KEGG, , , , 
Hydrocortisone succinate (JP17), D05987, substrate, Not Specified, KEGG, , , , 
Hydrocortisone butyrate (JP17/USP), D05987, substrate, Not Specified, KEGG, , , , 
Hydrocortisone probutate (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Hydrocortisone valerate (USP), D05987, substrate, Not Specified, KEGG, , , , 
Hydrocortisone hemisuccinate (USP), D05987, substrate, Not Specified, KEGG, , , , 
Hydrocortisone aceponate (INN), D05987, substrate, Not Specified, KEGG, , , , 
Hydrocortisone caproate (JAN), D05987, substrate, Not Specified, KEGG, , , , 
Hydroquinine hydrobromide, D05987, substrate, Not Specified, KEGG, , , , 
Hydroxyzine (INN), D05987, substrate, Not Specified, KEGG, , , , 
Hydroxyzine hydrochloride (JP17/USP), D05987, substrate, Not Specified, KEGG, , , , 
Hydroxyzine pamoate (JP17/USP), D05987, substrate, Not Specified, KEGG, , , , 
Ifosfamide (JAN/USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Imidafenacin (JAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Imipramine (INN), D05987, substrate, Not Specified, KEGG, , , , 
Imipramine hydrochloride (JP17/USP), D05987, substrate, Not Specified, KEGG, , , , 
Imipramine pamoate (USP), D05987, substrate, Not Specified, KEGG, , , , 
Indinavir (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Indinavir sulfate (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Indinavir sulfate ethanolate (JAN), D05987, substrate, Not Specified, KEGG, , , , 
Irbesartan - amlodipine besilate mixt, D05987, substrate, Not Specified, KEGG, , , , 
Isopropylantipyrine - ergotamine tartrate - anhydrous caffeine mixt, D05987, substrate, Not Specified, KEGG, , , , 
Imatinib (INN), D05987, substrate, Not Specified, KEGG, , , , 
Imatinib mesylate (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Irinotecan (INN), D05987, substrate, Not Specified, KEGG, , , , 
Irinotecan hydrochloride (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Itraconazole (JP17/USAN), D05987, substrate, Not Specified, KEGG, , , , 
Josamycin (JP17/USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Josamycin propionate (JP17), D05987, substrate, Not Specified, KEGG, , , , 
Ketoconazole (JP17/USP), D05987, substrate, Not Specified, KEGG, , , , 
Lansoprazole (JP17/USP/INN), D05987, substrate, Not Specified, KEGG, , , , 
Amoxicillin hydrate - clarithromycin - lansoprazole mixt, D05987, substrate, Not Specified, KEGG, , , , 
Lapatinib (INN), D05987, substrate, Not Specified, KEGG, , , , 
Lapatinib ditosylate (USAN), D05987, substrate, Not Specified, KEGG, , , , 
Leflunomide (JAN/USAN/INN), D05987, substrate, Not Specified, KEGG, , , , 
Lercanidipine (INN), D05987, substrate, Not Specified, KEGG, , , , 
